player_name,pitch_type_full
"Brzykcy, Zach",['Curveball' 'Four-Seam Fastball' 'Changeup']
"Bubic, Kris",['Sweeper' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Slider']
"Buchanan, David",['Changeup' 'Cutter' 'Curveball' 'Sinker' 'Four-Seam Fastball' 'Sweeper']
"Buehler, Walker","['Knuckle Curve' 'Cutter' 'Four-Seam Fastball' 'Sinker' 'Sweeper' 'Slider'
 'Changeup']"
"Bukauskas, J.B.",['Sinker' 'Slider']
"Bummer, Aaron",['Sweeper' 'Sinker' 'Four-Seam Fastball' 'Changeup' 'Cutter' 'Curveball']
"Burdi, Nick",['Four-Seam Fastball' 'Slider' 'Changeup']
"Burgos, Raymond",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Sweeper']
"Burke, Brock",['Changeup' 'Sinker' 'Four-Seam Fastball' 'Slider']
"Burke, Sean",['Slider' 'Changeup' 'Four-Seam Fastball' 'Curveball' 'Sinker']
"Burnes, Corbin","['Curveball' 'Cutter' 'Sweeper' 'Sinker' 'Changeup' 'Four-Seam Fastball'
 'Slider' nan]"
"Burr, Ryan",['Slider' 'Four-Seam Fastball' 'Sinker']
"Burrows, Mike",['Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball']
"Busenitz, Alan","['Curveball' 'Changeup' 'Four-Seam Fastball' 'Cutter' 'Slider' 'Sinker'
 'Sweeper']"
"Bush, Ky",['Curveball' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Buttó, José",['Sweeper' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Slider']
"Cabrera, Edward",['Sinker' 'Curveball' 'Changeup' 'Four-Seam Fastball' 'Slider']
"Cabrera, Génesis",['Curveball' 'Four-Seam Fastball' 'Sinker' 'Cutter' 'Changeup']
"Cabrera, Oswaldo",[nan 'Eephus']
"Campbell, Isaiah",['Four-Seam Fastball' 'Sweeper' 'Slider' 'Sinker']
"Canning, Griffin",['Four-Seam Fastball' 'Slider' 'Changeup' 'Knuckle Curve' 'Sinker']
"Cannon, Jonathan",['Sinker' 'Sweeper' 'Four-Seam Fastball' 'Cutter' 'Changeup']
"Cano, Yennier",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Cantillo, Joey",['Changeup' 'Slider' 'Curveball' 'Four-Seam Fastball']
"Carasiti, Matt",['Cutter' 'Sinker' nan 'Four-Seam Fastball']
"Carlson, Sam",['Sinker' 'Slider' 'Cutter']
"Carrasco, Carlos",['Sinker' 'Changeup' 'Slider' 'Four-Seam Fastball' 'Curveball' 'Sweeper']
"Casparius, Ben",['Slider' 'Four-Seam Fastball' 'Curveball' 'Cutter']
"Castano, Blas",['Changeup' 'Sinker' 'Cutter' 'Sweeper']
"Castellanos, Humberto",['Cutter' 'Sinker' 'Curveball' 'Four-Seam Fastball' 'Changeup']
"Castillo, Diego",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker']
"Castillo, Luis",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Castillo, Max",['Slider' 'Four-Seam Fastball' 'Changeup']
"Castro, Miguel",['Slider' 'Four-Seam Fastball' 'Sinker' 'Changeup']
"Castro, Willi",['Eephus' nan]
"Cease, Dylan","['Sweeper' 'Four-Seam Fastball' 'Slider' 'Knuckle Curve' 'Changeup'
 'Sinker' 'Cutter']"
"Cecconi, Slade","['Slider' 'Four-Seam Fastball' 'Curveball' 'Changeup' 'Sweeper' nan
 'Cutter']"
"Cellucci, Brendan",['Four-Seam Fastball' 'Slider' 'Cutter']
"Chafin, Andrew",['Sinker' 'Four-Seam Fastball' 'Slider']
"Chapman, Aroldis",['Four-Seam Fastball' 'Slider' 'Sinker' 'Splitter']
"Chargois, JT",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Chavez, Jesse",['Cutter' 'Sinker' 'Curveball' 'Changeup' 'Slider']
"Chirinos, Yonny",['Sinker' 'Slider' 'Splitter' 'Four-Seam Fastball']
"Chivilli, Angel",['Slider' 'Changeup' 'Four-Seam Fastball' nan]
"Church, Marc",['Slider' 'Four-Seam Fastball']
"Cimber, Adam",['Four-Seam Fastball' 'Slider' 'Sinker']
"Cisnero, José",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker' 'Cutter']
"Civale, Aaron","['Curveball' 'Sinker' 'Cutter' 'Sweeper' 'Four-Seam Fastball' 'Slider'
 'Splitter']"
"Clarke, Chris",['Curveball' 'Four-Seam Fastball' 'Sinker' 'Slider' 'Cutter']
"Clase, Emmanuel",['Cutter' 'Slider' 'Sinker']
"Cleavinger, Garrett",['Sinker' 'Slider' 'Sweeper' 'Cutter' 'Four-Seam Fastball']
"Clemens, Kody",['Eephus']
"Clement, Ernie",[nan 'Knuckleball']
"Clenney, Nolan",['Slider' 'Four-Seam Fastball']
"Clevinger, Mike",['Four-Seam Fastball' 'Sweeper' 'Curveball' 'Changeup' 'Sinker' 'Cutter']
"Clifton, Trevor",['Curveball' 'Sinker']
"Cobb, Alex",['Splitter' 'Sinker' 'Knuckle Curve' 'Four-Seam Fastball']
"Cole, Gerrit","['Sinker' 'Changeup' 'Cutter' 'Four-Seam Fastball' 'Knuckle Curve'
 'Slider']"
"Coleman, Dylan",['Four-Seam Fastball' 'Cutter' 'Sweeper']
"Colon, Jeffrey",['Changeup' 'Slider' 'Four-Seam Fastball' 'Sinker']
"Contreras, Efrain",['Four-Seam Fastball' 'Cutter' 'Curveball']
"Contreras, Luis",['Sweeper' 'Changeup' 'Four-Seam Fastball' 'Curveball' 'Slider' 'Sinker']
"Contreras, Roansy","['Four-Seam Fastball' 'Curveball' 'Slider' 'Sinker' 'Changeup' nan
 'Sweeper']"
"Cooke, Connor",['Four-Seam Fastball' 'Slider']
"Corbin, Patrick","['Slider' 'Cutter' 'Sinker' 'Curveball' 'Four-Seam Fastball' 'Changeup'
 nan 'Splitter']"
"Cornielly, Joshua",['Changeup' 'Four-Seam Fastball' 'Cutter']
"Cornwell, Alex",['Four-Seam Fastball' 'Curveball' 'Slider' 'Changeup']
"Cortes, Nestor",['Sweeper' 'Four-Seam Fastball' 'Cutter' 'Sinker' 'Changeup' 'Slider']
"Cosgrove, Tom",['Sweeper' 'Four-Seam Fastball' 'Sinker']
"Coulombe, Danny",['Sinker' 'Sweeper' 'Cutter' 'Four-Seam Fastball' 'Knuckle Curve']
"Cousins, Jake",['Sinker' 'Slider' 'Four-Seam Fastball']
"Crawford, Brandon",['Changeup' 'Four-Seam Fastball' 'Cutter' 'Slider' 'Curveball']
"Crawford, Kutter",['Cutter' 'Splitter' 'Four-Seam Fastball' 'Sweeper' 'Knuckle Curve']
"Crismatt, Nabil",['Changeup' 'Curveball' 'Slider' 'Four-Seam Fastball' 'Sinker']
"Criswell, Cooper",['Sinker' 'Sweeper' 'Changeup' 'Cutter' 'Slider']
